Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Miyazaki,Nobeoka,JPN.25.22_1,2.8845,14.4369,13.0212,14.1768,11.2878,10.8945,9.3861,6.5016,225.3978159
Miyazaki,Saito,JPN.25.24_1,13.4766,23.4621,23.553,21.6585,22.014,16.8363,14.5287,1.0521,7.806865233
Nagano,Azumino,JPN.26.6_1,66.0393,65.0313,57.7611,50.6763,49.2561,45.9486,44.7822,-21.2571,-32.18856045
Nagano,Chikuma,JPN.26.8_1,2.1051,3.5064,3.7314,3.1572,3.5514,3.5334,3.0681,0.963,45.74604532
Nagano,Chino,JPN.26.9_1,10.3671,12.1185,9.2169,7.2018,7.7112,6.7824,6.8004,-3.5667,-34.40402813
Nagano,Iida,JPN.26.15_1,5.6295,5.4432,4.1625,3.4524,3.7026,2.9745,2.6208,-3.0087,-53.4452438
Nagano,Iiyama,JPN.26.17_1,11.4219,14.0013,11.2725,10.2708,9.8946,10.08,9.6579,-1.764,-15.44401544
Nagano,Ina,JPN.26.21_1,29.4228,29.3229,26.235,20.727,21.0276,21.0321,19.3851,-10.0377,-34.11537991
Nagano,Komagane,JPN.26.28_1,9.9603,9.9117,7.9929,6.8661,6.3693,6.5421,5.9076,-4.0527,-40.68853348
Nagano,Komoro,JPN.26.29_1,5.877,6.2109,4.9329,4.3119,4.7115,4.8996,4.0509,-1.8261,-31.0719755
Nagano,Matsumoto,JPN.26.32_1,50.1255,47.8728,42.8337,41.6331,40.0986,38.0916,35.3871,-14.7384,-29.40299847
Nagano,Nagano,JPN.26.39_1,14.3091,16.2306,17.8173,11.0817,12.582,11.7864,10.3212,-3.9879,-27.86967734
Nagano,Nakano,JPN.26.44_1,5.8824,6.0732,5.2812,4.7547,4.6359,4.1724,3.3111,-2.5713,-43.71175031
Nagano,Okaya,JPN.26.49_1,1.0242,0.7308,0.9981,0.6012,0.6696,0.5004,0.3744,-0.6498,-63.44463972
Nagano,Ōmachi,JPN.26.51_1,26.523,25.686,23.2965,20.5254,19.4085,18.8802,17.7831,-8.7399,-32.95215473
Nagano,Saku,JPN.26.58_1,37.1817,39.6045,35.5761,32.2002,33.4233,32.3883,30.681,-6.5007,-17.4836008
Nagano,Shiojiri,JPN.26.65_1,11.808,12.4452,10.3806,9.4617,8.8713,8.0847,7.0047,-4.8033,-40.67835366
Nagano,Suwa,JPN.26.66_1,6.0498,6.2613,4.7052,3.9798,4.2408,3.6954,3.528,-2.5218,-41.68402261
Nagano,Suzaka,JPN.26.67_1,4.7592,2.952,2.547,1.764,1.5795,1.7487,1.3293,-3.4299,-72.0688351
Nagano,Tōmi,JPN.26.74_1,6.0966,6.0174,5.3388,4.9788,5.4468,5.2983,4.8384,-1.2582,-20.63773251
Nagano,Ueda,JPN.26.76_1,29.9088,27.5301,22.8546,21.4506,21.9285,20.0817,18.7659,-11.1429,-37.25625903
Naoasaki,Gotō,JPN.27.2_1,6.327,8.6418,8.7309,11.0061,5.2605,3.0582,3.7305,-2.5965,-41.03840683
Naoasaki,Hirado,JPN.27.5_1,4.3335,5.5188,6.0192,5.9688,4.086,2.6946,2.2437,-2.0898,-48.22429907
Naoasaki,Iki,JPN.27.6_1,8.5014,9.27,10.0512,7.3719,7.4187,2.6604,1.773,-6.7284,-79.14461148
Naoasaki,Isahaya,JPN.27.7_1,17.2827,26.127,5.4765,20.6568,18.207,11.9196,13.8348,-3.4479,-19.95000781
Naoasaki,Matsuura,JPN.27.9_1,1.5894,3.15,2.5929,2.3562,2.0745,2.0889,1.1601,-0.4293,-27.01019253
Naoasaki,Minamishimabara,JPN.27.10_1,5.0472,5.9553,0.6507,3.4965,2.6415,1.6893,1.2528,-3.7944,-75.17831669
Naoasaki,Nagasaki,JPN.27.11_1,2.6316,1.7226,0.7947,0.7146,0.4869,0.3636,0.2952,-2.3364,-88.78248974
Naoasaki,Ōmura,JPN.27.14_1,1.665,3.8673,1.5579,2.7693,2.2266,1.7406,1.8063,0.1413,8.486486486
Naoasaki,Saikai,JPN.27.15_1,2.7864,2.556,1.602,1.1115,1.0539,0.4986,0.8244,-1.962,-70.41343669
Naoasaki,Sasebo,JPN.27.16_1,4.9896,7.101,5.1561,4.2291,3.8214,1.9494,2.3103,-2.6793,-53.6976912
Naoasaki,Saza,JPN.27.17_1,0.6966,1.1736,1.0044,0.72,0.3717,0.315,0.4995,-0.1971,-28.29457364
