Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Okayama,Soja,JPN.31.24_1,22.66561521,21.19563496,19.13855094,19.50203416,14.593662,15.13393759,12.4260196,-10.23959562,-45.17678219
Okayama,Takahashi,JPN.31.25_1,8.912279502,8.17950603,10.62093357,9.920585782,6.992767649,9.11224949,5.30678146,-3.605498042,-40.45539686
Okayama,Tamano,JPN.31.26_1,4.954867429,5.316051892,6.380978417,6.119595466,3.000923397,4.138361954,5.113264727,0.158397298,3.196801939
Okayama,Tsuyama,JPN.31.28_1,45.89072249,42.17203459,46.73169315,40.1550123,34.58939078,32.16928252,13.05752805,-32.83319444,-71.54647531
Osaka,Daito,JPN.33.2_1,0.453512928,0.432710367,0.508482386,0.234935619,0.183468113,0.101192079,0.118810441,-0.334702488,-73.80219319
Osaka,Fujiidera,JPN.33.3_1,0.307823681,0.368958561,0.233733651,0.214903847,0.173915444,0.077272581,0.080465316,-0.227358365,-73.85993315
Osaka,Habikino,JPN.33.4_1,2.349017903,2.729642153,2.385460382,1.876393509,1.50602963,0.997487387,0.843799193,-1.50521871,-64.07863934
Osaka,Hannan,JPN.33.5_1,1.650580715,1.337401741,3.863947364,0.909910069,0.715062013,0.433071821,0.461418213,-1.189162502,-72.0450985
Osaka,Higashiosaka,JPN.33.6_1,1.497429881,1.358153491,2.701237575,1.021938428,0.693851887,0.420587429,0.419015235,-1.078414646,-72.01770579
Osaka,Hirakata,JPN.33.7_1,6.116928145,6.076279859,6.062606323,4.86500983,3.92212386,3.003770033,2.809669471,-3.307258674,-54.0673128
Osaka,Ibaraki,JPN.33.8_1,4.668338886,4.356419063,5.920414548,2.895625623,2.574131892,2.009649012,2.19465688,-2.473682005,-52.98848404
Osaka,Ikeda,JPN.33.9_1,0.019165792,0.147769844,0.996287378,0.034916501,0.027393269,0.02431817,0.024323663,0.005157872,26.91186304
Osaka,Izumi,JPN.33.10_1,1.587967545,2.527779548,3.929450277,1.629453991,1.444830785,1.069400461,1.08552698,-0.502440565,-31.64048075
Osaka,Izumiotsu,JPN.33.11_1,0.132320343,0.121191597,1.595662278,0.044391497,0.021305219,0.018345133,0.03749014,-0.094830203,-71.66713809
Osaka,Izumisano,JPN.33.12_1,3.822243802,3.546024557,6.734101401,2.644058362,2.209446048,1.519509059,1.192970195,-2.629273608,-68.78874671
Osaka,Kadoma,JPN.33.13_1,0.946553169,0.792684571,0.833801497,0.385946807,0.339634314,0.224979865,0.249247782,-0.697305387,-73.66785193
Osaka,Kaizuka,JPN.33.14_1,1.322737528,1.478117621,4.014117759,0.948370211,0.793183594,0.586150163,0.559367481,-0.763370047,-57.7113774
Osaka,Kashiwara,JPN.33.16_1,0.201817962,0.294381849,0.305143522,0.131180182,0.181954421,0.115420807,0.094209392,-0.10760857,-53.31961967
Osaka,Katano,JPN.33.17_1,1.584815213,1.695235219,1.4418469,1.206835782,1.014617761,0.69773756,0.590719673,-0.99409554,-62.72627446
Osaka,Kawachinagano,JPN.33.18_1,1.320874417,1.35487672,1.370595996,1.1444591,1.044546016,0.737708741,0.753648976,-0.567225441,-42.94317718
Osaka,Kishiwada,JPN.33.19_1,1.139057998,1.783709026,4.080228086,0.817420831,0.62412558,0.603592024,0.611477188,-0.52758081,-46.31729121
Osaka,Matsubara,JPN.33.21_1,1.728781294,1.848199765,1.738003623,1.172887524,0.759259398,0.465528946,0.480241697,-1.248539597,-72.22079517
Osaka,Minoo,JPN.33.22_1,2.02058627,1.784084384,4.39561446,1.413885211,1.121400654,0.984930363,0.741263305,-1.279322965,-63.31444414
Osaka,Moriguchi,JPN.33.24_1,0.06432575,0.078318067,1.306756551,0.06182553,0.052195077,0.061231052,0.080585435,0.016259685,25.27710049
Osaka,Neyagawa,JPN.33.25_1,1.303274307,1.320652249,1.371909822,0.904947036,0.681459497,0.55936071,0.413220305,-0.890054002,-68.29368136
Osaka,Osaka,JPN.33.27_1,0.842455956,1.025308284,27.41264787,0.683101814,0.556863073,0.206407164,0.431223734,-0.411232221,-48.81349805
Osaka,Ōsakasayama,JPN.33.28_1,0.87531956,0.869328595,0.728383014,0.695547005,0.545731358,0.357632454,0.272446833,-0.602872727,-68.87458642
Osaka,Sakai,JPN.33.29_1,8.521337471,7.859377391,15.04853133,7.15985956,5.619877591,4.386841505,4.237421285,-4.283916186,-50.27281457
Osaka,Sennan,JPN.33.30_1,2.49613979,2.43508645,5.110729407,1.723564732,1.475467787,0.987887657,0.866582499,-1.629557291,-65.28309423
Osaka,Settsu,JPN.33.31_1,0.830986084,0.544220559,2.281900297,0.421767371,0.403898111,0.220712112,0.332540949,-0.498445135,-59.98236852
Osaka,Shijōnawate,JPN.33.32_1,1.297370289,1.149855502,0.845093667,0.99839016,0.869271475,0.53364099,0.616502059,-0.68086823,-52.48063991
Osaka,Suita,JPN.33.34_1,0.185064114,0.146581571,3.648454633,0.089495898,0.079949448,0.066892282,0.072404697,-0.112659416,-60.87588457
Osaka,Takaishi,JPN.33.38_1,0.251662453,0.345323383,1.202023441,0.166986952,0.0711977,0.092621408,0.110014349,-0.141648105,-56.28495738
Osaka,Takatsuki,JPN.33.39_1,5.39553509,5.418980533,7.50692448,4.819586607,3.909674661,3.287555419,3.112508676,-2.283026414,-42.31325301
Osaka,Tondabayashi,JPN.33.40_1,2.079897891,2.808053511,2.926905547,2.526571207,2.397090799,1.776663375,1.614537485,-0.465360406,-22.37419481
Osaka,Toyonaka,JPN.33.41_1,0.423301811,0.256512172,4.334084083,0.167919905,0.11830967,0.090911402,0.08426262,-0.339039191,-80.09396186
Osaka,Yao,JPN.33.43_1,1.259417127,1.328597252,1.038438484,1.040051431,0.755757865,0.447366073,0.376440774,-0.882976354,-70.10992104
Saga,Imari,JPN.34.3_1,19.64704265,23.68593048,23.92669112,20.18436208,19.29080133,19.14489267,17.93027169,-1.716770967,-8.738063013
Saga,Kanzaki,JPN.34.5_1,35.16568092,30.98113026,26.37994854,32.2271798,30.85213667,22.83440059,26.60540701,-8.560273914,-24.34269347
Saga,Karatsu,JPN.34.6_1,34.44032893,26.85908451,30.6969256,23.97805367,22.25332047,27.67107947,21.18222831,-13.25810062,-38.49585945
Saga,Kashima,JPN.34.7_1,9.264479992,9.840018923,9.041999034,11.92672317,10.88899307,6.293703541,10.35461349,1.090133499,11.76680721
Saga,Ogi,JPN.34.11_1,39.61908862,34.02891169,32.17452482,37.68769423,32.46428556,23.37980066,30.62177177,-8.997316851,-22.70955028
Saga,Saga,JPN.34.13_1,121.3306166,105.7082496,96.47317928,111.0821158,105.3835484,81.24108188,91.60238691,-29.72822972,-24.50183683
